到達時間,車站序號,車站名稱,車站編號,緯度,經度
3分鐘,16,捷運新店區公所站(北新),2314700900,24.967638,121.5416161
5分鐘,17,七張(北新路),2314300000,24.971513,121.542921
7分鐘,18,捷運七張站,2314301100,24.9753,121.5430453
9分鐘,19,新店郵局,2314301700,24.978161,121.542795
10分鐘,20,大坪林,2314300100,24.981232,121.5418387
12分鐘,21,捷運大坪林站,2314301200,24.983344,121.5413983
3分鐘,23,捷運景美站,1167000200,24.992366,121.5407616
5分鐘,24,財政園區,1167000000,24.995452,121.5413365
6分鐘,25,萬隆,1167000400,24.999316,121.5402001
6分鐘,29,公館,1067300020,25.012096,121.5385308
6分鐘,30,臺灣科技大學,1060700020,25.013453,121.5401488
7分鐘,31,臺大癌醫(基隆路),1067200720,25.015521,121.5425256
9分鐘,32,基隆長興街口,1067200320,25.017425,121.5448494
10分鐘,33,和平高中,1105200100,25.01963,121.54746
4分鐘,36,三興國小(臨江街觀光夜市),1105300100,25.028574,121.557017
5分鐘,37,吳興街口,1105200000,25.031596,121.5588464
8分鐘,38,世貿中心(基隆路),1105100100,25.033677,121.5601565
11分鐘,39,市政府(松壽),1105100320,25.035836,121.5648932
4分鐘,41,捷運市政府站,1107100121,25.041009,121.5668354
